date,nb_tues,col3,an,mois
janv-72,1343.0,17496.0,1972,janvier
févr-72,1140.0,17626.0,1972,fevrier
mars-72,1335.0,17891.0,1972,mars
avr-72,1281.0,17888.0,1972,avril
mai-72,1460.0,17884.0,1972,mai
juin-72,1466.0,17920.0,1972,juin
juil-72,1761.0,17815.0,1972,juillet
août-72,1537.0,17656.0,1972,août
sept-72,1585.0,17674.0,1972,septembre
oct-72,1726.0,17660.0,1972,octobre
nov-72,1500.0,17635.0,1972,novembre
déc-72,1553.0,17687.0,1972,decembre
janv-73,1308.0,17652.0,1973,janvier
févr-73,1072.0,17585.0,1973,fevrier
mars-73,1188.0,17438.0,1973,mars
avr-73,1447.0,17604.0,1973,avril
mai-73,1395.0,17539.0,1973,mai
juin-73,1393.0,17466.0,1973,juin
juil-73,1470.0,17270.0,1973,juillet
août-73,1484.0,17233.0,1973,août
sept-73,1616.0,17266.0,1973,septembre
oct-73,1482.0,17025.0,1973,octobre
nov-73,1490.0,17022.0,1973,novembre
déc-73,1248.0,16715.0,1973,decembre
janv-74,1189.0,16411.0,1974,janvier
févr-74,812.0,16164.0,1974,fevrier
mars-74,992.0,15979.0,1974,mars
avr-74,1035.0,15574.0,1974,avril
mai-74,1103.0,15294.0,1974,mai
juin-74,1328.0,15248.0,1974,juin
juil-74,1416.0,15195.0,1974,juillet
août-74,1366.0,15077.0,1974,août
sept-74,1335.0,14796.0,1974,septembre
oct-74,1233.0,14547.0,1974,octobre
nov-74,1239.0,14296.0,1974,novembre
déc-74,1401.0,14450.0,1974,decembre
janv-75,1270.0,14531.0,1975,janvier
févr-75,842.0,14561.0,1975,fevrier
mars-75,1031.0,14599.0,1975,mars
avr-75,925.0,14489.0,1975,avril
mai-75,1090.0,14476.0,1975,mai
juin-75,1229.0,14378.0,1975,juin
juil-75,1503.0,14465.0,1975,juillet
août-75,1355.0,14454.0,1975,août
sept-75,1214.0,14333.0,1975,septembre
oct-75,1283.0,14383.0,1975,octobre
nov-75,1187.0,14331.0,1975,novembre
déc-75,1149.0,14079.0,1975,decembre
janv-76,1237.0,14046.0,1976,janvier
févr-76,904.0,14108.0,1976,fevrier
mars-76,970.0,14047.0,1976,mars
avr-76,1012.0,14134.0,1976,avril
mai-76,1238.0,14282.0,1976,mai
juin-76,1369.0,14422.0,1976,juin
juil-76,1631.0,14550.0,1976,juillet
août-76,1431.0,14626.0,1976,août
sept-76,1279.0,14690.0,1976,septembre
oct-76,1354.0,14762.0,1976,octobre
nov-76,1195.0,14770.0,1976,novembre
déc-76,1117.0,14738.0,1976,decembre
janv-77,1181.0,14683.0,1977,janvier
févr-77,859.0,14638.0,1977,fevrier
mars-77,986.0,14654.0,1977,mars
avr-77,977.0,14619.0,1977,avril
mai-77,1173.0,14553.0,1977,mai
juin-77,1098.0,14282.0,1977,juin
juil-77,1460.0,14111.0,1977,juillet
août-77,1168.0,13848.0,1977,août
sept-77,1155.0,13724.0,1977,septembre
oct-77,1415.0,13785.0,1977,octobre
nov-77,1245.0,13835.0,1977,novembre
déc-77,1290.0,14008.0,1977,decembre
janv-78,1273.0,14100.0,1978,janvier
févr-78,763.0,14004.0,1978,fevrier
mars-78,981.0,14000.0,1978,mars
avr-78,916.0,13939.0,1978,avril
mai-78,988.0,13754.0,1978,mai
juin-78,1204.0,13860.0,1978,juin
juil-78,1273.0,13673.0,1978,juillet
août-78,1014.0,13519.0,1978,août
sept-78,1064.0,13428.0,1978,septembre
oct-78,1234.0,13246.0,1978,octobre
nov-78,1116.0,13117.0,1978,novembre
déc-78,1148.0,12974.0,1978,decembre
janv-79,1024.0,12725.0,1979,janvier
févr-79,856.0,12818.0,1979,fevrier
mars-79,973.0,12810.0,1979,mars
avr-79,1028.0,12922.0,1979,avril
mai-79,1073.0,13008.0,1979,mai
juin-79,1157.0,12961.0,1979,juin
juil-79,1399.0,13087.0,1979,juillet
août-79,1199.0,13272.0,1979,août
sept-79,1085.0,13293.0,1979,septembre
oct-79,1203.0,13262.0,1979,octobre
nov-79,1206.0,13352.0,1979,novembre
déc-79,1137.0,13341.0,1979,decembre
janv-80,1155.0,13472.0,1980,janvier
févr-80,814.0,13429.0,1980,fevrier
mars-80,948.0,13404.0,1980,mars
avr-80,957.0,13333.0,1980,avril
mai-80,1098.0,13357.0,1980,mai
juin-80,1171.0,13371.0,1980,juin
juil-80,1279.0,13250.0,1980,juillet
août-80,1295.0,13345.0,1980,août
sept-80,1155.0,13415.0,1980,septembre
oct-80,1267.0,13479.0,1980,octobre
nov-80,1166.0,13439.0,1980,novembre
déc-80,1106.0,13408.0,1980,decembre
janv-81,1142.0,13396.0,1981,janvier
févr-81,771.0,13353.0,1981,fevrier
mars-81,941.0,13345.0,1981,mars
avr-81,897.0,13286.0,1981,avril
mai-81,1083.0,13271.0,1981,mai
juin-81,1083.0,13183.0,1981,juin
juil-81,1320.0,13225.0,1981,juillet
août-81,1348.0,13278.0,1981,août
sept-81,1113.0,13236.0,1981,septembre
oct-81,1328.0,13297.0,1981,octobre
nov-81,1103.0,13234.0,1981,novembre
déc-81,1158.0,13286.0,1981,decembre
janv-82,1098.0,13242.0,1982,janvier
févr-82,821.0,13292.0,1982,fevrier
mars-82,916.0,13267.0,1982,mars
avr-82,970.0,13340.0,1982,avril
mai-82,1133.0,13390.0,1982,mai
juin-82,1135.0,13443.0,1982,juin
juil-82,1490.0,13613.0,1982,juillet
août-82,1070.0,13335.0,1982,août
sept-82,1071.0,13293.0,1982,septembre
oct-82,1223.0,13188.0,1982,octobre
nov-82,1082.0,13167.0,1982,novembre
déc-82,1257.0,13266.0,1982,decembre
janv-83,1147.0,13315.0,1983,janvier
févr-83,716.0,13211.0,1983,fevrier
mars-83,847.0,13141.0,1983,mars
avr-83,916.0,13088.0,1983,avril
mai-83,959.0,12914.0,1983,mai
juin-83,1073.0,12852.0,1983,juin
juil-83,1412.0,12773.0,1983,juillet
août-83,1117.0,12821.0,1983,août
sept-83,1178.0,12927.0,1983,septembre
oct-83,1188.0,12892.0,1983,octobre
nov-83,1075.0,12886.0,1983,novembre
déc-83,1142.0,12770.0,1983,decembre
janv-84,1159.0,12782.0,1984,janvier
févr-84,793.0,12859.0,1984,fevrier
mars-84,877.0,12889.0,1984,mars
avr-84,862.0,12834.0,1984,avril
mai-84,942.0,12817.0,1984,mai
juin-84,1078.0,12822.0,1984,juin
juil-84,1234.0,12643.0,1984,juillet
août-84,1038.0,12564.0,1984,août
sept-84,1086.0,12472.0,1984,septembre
oct-84,1132.0,12416.0,1984,octobre
nov-84,1134.0,12475.0,1984,novembre
déc-84,1158.0,12491.0,1984,decembre
janv-85,641.0,11974.0,1985,janvier
févr-85,653.0,11834.0,1985,fevrier
mars-85,771.0,11728.0,1985,mars
avr-85,755.0,11621.0,1985,avril
mai-85,931.0,11610.0,1985,mai
juin-85,1059.0,11592.0,1985,juin
juil-85,1167.0,11526.0,1985,juillet
août-85,1178.0,11666.0,1985,août
sept-85,1019.0,11599.0,1985,septembre
oct-85,1062.0,11528.0,1985,octobre
nov-85,967.0,11361.0,1985,novembre
déc-85,964.0,11168.0,1985,decembre
janv-86,883.0,11409.0,1986,janvier
févr-86,616.0,11372.0,1986,fevrier
mars-86,788.0,11389.0,1986,mars
avr-86,794.0,11429.0,1986,avril
