Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,date,nom_mois
"2,01E+11",2010,10,28,2015,5,2,1,1.0,6.0,181,5 route de FONTENAY,M,0.0,0.0,850,2010-10-28,octobre
"2,01E+11",2010,6,26,1745,1,2,1,1.0,3.0,58,"SANS N, URTIN AVENUE MAR",M,4494410.0,489510.0,260,2010-06-26,juin
"2,013E+11",2013,9,3,1545,1,2,6,1.0,3.0,36,Hameau Cartels du Bosc,M,4368800.0,335900.0,340,2013-09-03,septembre
"2,014E+11",2014,3,13,1915,3,1,1,5.0,3.0,70,,M,5038774.0,245905.0,620,2014-03-13,mars
"2,01E+11",2010,8,2,2115,1,2,1,1.0,6.0,66,"face 31, FRANCE ANATOLE",,,,930,2010-08-02,août
"2,013E+11",2013,8,2,2145,3,1,9,3.0,3.0,170,,M,0.0,0.0,860,2013-08-02,août
"2,01E+11",2010,8,19,1940,1,1,1,1.0,6.0,56,A55-SENS MARSEILLE VERS,M,4339830.0,508067.0,130,2010-08-19,août
"2,016E+11",2016,1,15,2045,3,1,1,8.0,6.0,302,RD 145,M,4321135.0,-21654.0,640,2016-01-15,janvier
"2,012E+11",2012,7,12,1220,1,2,1,2.0,6.0,666,"23, VERDUN (ROUTE DE)",,,,570,2012-07-12,juillet
"2,012E+11",2012,5,26,1100,1,1,1,1.0,5.0,514,,M,4767600.0,462300.0,210,2012-05-26,mai
"2,012E+11",2012,6,27,810,1,2,2,1.0,6.0,55,"34, BD NOTRE DAME",,,,130,2012-06-27,juin
"2,01E+11",2010,5,19,1645,1,2,1,2.0,6.0,180,"PV, ROUTE DE MARIENTHAL",,,,670,2010-05-19,mai
"2,01E+11",2010,9,21,45,3,1,1,1.0,5.0,52,,M,0.0,0.0,710,2010-09-21,septembre
"2,012E+11",2012,10,17,2100,3,1,1,1.0,6.0,177,,M,0.0,0.0,390,2012-10-17,octobre
"2,012E+11",2012,5,1,2045,1,2,9,1.0,2.0,356,RD 195,M,4872100.0,209399.0,780,2012-05-01,mai
"2,012E+11",2012,8,17,815,1,1,1,7.0,7.0,136,,M,4771430.0,147520.0,410,2012-08-17,août
"2,013E+11",2013,4,30,1600,1,1,1,8.0,1.0,111,,M,4394503.0,368930.0,340,2013-04-30,avril
"2,01E+11",2010,8,3,1750,1,2,6,1.0,3.0,300,DOMPIERRE   RUE DE,,,,170,2010-08-03,août
"2,01E+11",2010,10,17,1300,1,1,1,1.0,6.0,527,AUTOROUTE A3,,,,950,2010-10-17,octobre
"2,01E+11",2010,10,20,1330,1,2,3,1.0,3.0,127,EVASION (BOULEVARD DE L',M,4904960.0,201310.0,950,2010-10-20,octobre
"2,013E+11",2013,5,27,1310,1,2,1,1.0,6.0,283,"40, CASTELLION",M,4625060.0,564871.0,10,2013-05-27,mai
"2,01E+11",2010,7,19,1140,1,2,1,1.0,3.0,55,"1, AVE DE VALDONNE",,,,130,2010-07-19,juillet
"2,01E+11",2010,3,2,1405,1,2,2,1.0,7.0,238,"15, GAMBETTA",,,,350,2010-03-02,mars
"2,015E+11",2015,8,6,1545,1,1,2,1.0,3.0,14,,M,4916820.0,113037.0,270,2015-08-06,août
"2,01E+11",2010,8,14,1530,1,2,1,2.0,7.0,229,COUBERTIN (RUE PIERRE DE,M,4844710.0,147069.0,280,2010-08-14,août
"2,011E+11",2011,8,24,1000,1,2,3,1.0,3.0,180,RD95/ rue de la fontaine,M,0.0,0.0,570,2011-08-24,août
"2,01E+11",2010,10,7,1115,1,1,1,1.0,5.0,153,,M,0.0,0.0,860,2010-10-07,octobre
"2,012E+11",2012,9,14,1745,1,1,9,1.0,3.0,9,,M,4363000.0,518700.0,130,2012-09-14,septembre
